DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2025,EQ,"1,541.00","1,577.00","1,541.00","1,539.80","1,569.00","1,570.40","1,566.86","1,581.30","1,114.85",5771830,"9,04,36,50,348.50",141792
30-Dec-2025,EQ,"1,547.00","1,553.60","1,537.80","1,545.60","1,541.00","1,539.80","1,543.21","1,581.30","1,114.85",8815884,"13,60,47,45,435.00",199428
29-Dec-2025,EQ,"1,554.90","1,558.10","1,543.60","1,559.20","1,546.70","1,545.60","1,547.80","1,581.30","1,114.85",5972105,"9,24,36,16,142.30",158162
26-Dec-2025,EQ,"1,554.70","1,561.00","1,554.30","1,558.20","1,560.00","1,559.20","1,558.05","1,581.30","1,114.85",2311495,"3,60,14,35,338.70",81976
24-Dec-2025,EQ,"1,572.70","1,575.70","1,553.60","1,570.70","1,560.60","1,558.20","1,559.55","1,581.30","1,114.85",8815745,"13,74,86,00,530.90",243970
23-Dec-2025,EQ,"1,580.90","1,580.90","1,568.10","1,575.40","1,569.00","1,570.70","1,573.01","1,581.30","1,114.85",7506564,"11,80,79,16,323.50",179265
22-Dec-2025,EQ,"1,573.50","1,577.50","1,565.30","1,565.10","1,577.00","1,575.40","1,571.96","1,581.30","1,114.85",10184852,"16,01,02,06,159.50",371017
19-Dec-2025,EQ,"1,554.40","1,574.20","1,551.00","1,544.40","1,564.90","1,565.10","1,566.60","1,581.30","1,114.85",13937275,"21,83,41,30,206.80",279233
18-Dec-2025,EQ,"1,535.20","1,551.50","1,535.20","1,544.40","1,543.50","1,544.40","1,545.30","1,581.30","1,114.85",6580829,"10,16,93,53,778.00",175814
17-Dec-2025,EQ,"1,550.00","1,550.00","1,539.30","1,542.30","1,545.10","1,544.40","1,544.14","1,581.30","1,114.85",7116649,"10,98,91,03,491.90",176852
16-Dec-2025,EQ,"1,545.00","1,551.70","1,538.80","1,556.20","1,540.70","1,542.30","1,544.30","1,581.30","1,114.85",11731856,"18,11,75,38,818.10",246980
15-Dec-2025,EQ,"1,551.20","1,558.60","1,546.50","1,556.50","1,557.00","1,556.20","1,553.69","1,581.30","1,114.85",5774543,"8,97,18,36,560.70",185872
12-Dec-2025,EQ,"1,550.80","1,559.80","1,546.10","1,545.00","1,554.30","1,556.50","1,555.21","1,581.30","1,114.85",5106655,"7,94,19,40,758.50",139702
11-Dec-2025,EQ,"1,536.90","1,550.00","1,524.00","1,536.90","1,543.00","1,545.00","1,540.61","1,581.30","1,114.85",4706197,"7,25,04,28,118.40",168155
10-Dec-2025,EQ,"1,534.00","1,547.50","1,531.40","1,529.40","1,533.50","1,536.90","1,539.72","1,581.30","1,114.85",7991629,"12,30,48,93,787.50",202989
09-Dec-2025,EQ,"1,540.30","1,542.50","1,520.10","1,543.00","1,532.40","1,529.40","1,530.00","1,581.30","1,114.85",11503971,"17,60,10,83,501.20",205129
08-Dec-2025,EQ,"1,539.20","1,551.00","1,535.00","1,540.60","1,539.90","1,543.00","1,540.71","1,581.30","1,114.85",11301491,"17,41,23,09,977.70",182756
05-Dec-2025,EQ,"1,530.40","1,545.80","1,520.60","1,535.60","1,544.60","1,540.60","1,534.80","1,581.30","1,114.85",10183266,"15,62,92,90,582.50",181528
04-Dec-2025,EQ,"1,536.00","1,560.50","1,517.60","1,538.80","1,525.30","1,535.60","1,543.73","1,581.30","1,114.85",11867930,"18,32,08,33,054.60",203260
03-Dec-2025,EQ,"1,545.20","1,552.40","1,533.00","1,546.30","1,539.10","1,538.80","1,539.45","1,581.30","1,114.85",6090883,"9,37,65,93,978.90",156721
02-Dec-2025,EQ,"1,561.10","1,567.50","1,542.00","1,566.10","1,548.30","1,546.30","1,550.62","1,581.30","1,114.85",11389150,"17,66,02,97,036.30",323713
01-Dec-2025,EQ,"1,575.00","1,577.50","1,563.60","1,567.50","1,566.50","1,566.10","1,571.31","1,581.30","1,114.85",8920233,"14,01,64,86,649.50",292601
28-Nov-2025,EQ,"1,568.00","1,581.30","1,563.00","1,563.40","1,569.00","1,567.50","1,571.94","1,581.30","1,114.85",8959508,"14,08,38,38,960.40",229373
27-Nov-2025,EQ,"1,575.00","1,575.50","1,556.00","1,569.90","1,564.80","1,563.40","1,563.68","1,575.50","1,114.85",9794643,"15,31,57,04,900.90",278929
26-Nov-2025,EQ,"1,542.30","1,571.60","1,540.50","1,539.70","1,569.60","1,569.90","1,562.98","1,571.60","1,114.85",14054299,"21,96,65,88,733.90",285274
25-Nov-2025,EQ,"1,535.90","1,559.60","1,525.10","1,535.90","1,540.00","1,539.70","1,546.34","1,559.60","1,114.85",15033482,"23,24,69,09,829.70",299805
24-Nov-2025,EQ,"1,550.00","1,550.00","1,531.80","1,546.60","1,534.90","1,535.90","1,537.26","1,557.80","1,114.85",18433951,"28,33,78,41,303.40",198313
21-Nov-2025,EQ,"1,541.00","1,557.80","1,540.10","1,549.10","1,543.70","1,546.60","1,549.35","1,557.80","1,114.85",9615271,"14,89,73,85,970.30",240250
20-Nov-2025,EQ,"1,530.00","1,550.90","1,526.70","1,518.90","1,549.50","1,549.10","1,543.57","1,551.00","1,114.85",18171724,"28,04,93,06,041.50",246552
19-Nov-2025,EQ,"1,517.40","1,522.30","1,512.00","1,519.40","1,519.00","1,518.90","1,518.64","1,551.00","1,114.85",5692366,"8,64,46,40,452.70",131481
18-Nov-2025,EQ,"1,521.70","1,527.80","1,510.50","1,518.30","1,520.00","1,519.40","1,520.18","1,551.00","1,114.85",11045042,"16,79,05,05,249.50",165850
17-Nov-2025,EQ,"1,520.90","1,523.70","1,511.50","1,518.90","1,518.00","1,518.30","1,516.89","1,551.00","1,114.85",5871416,"8,90,62,94,222.30",123473
14-Nov-2025,EQ,"1,505.50","1,520.90","1,505.50","1,510.90","1,518.20","1,518.90","1,516.51","1,551.00","1,114.85",7682823,"11,65,10,84,505.30",194941
13-Nov-2025,EQ,"1,515.00","1,522.10","1,506.80","1,511.50","1,512.10","1,510.90","1,514.35","1,551.00","1,114.85",7196443,"10,89,79,56,389.70",209774
12-Nov-2025,EQ,"1,505.00","1,524.70","1,500.00","1,493.40","1,511.80","1,511.50","1,515.00","1,551.00","1,114.85",12384459,"18,76,25,17,172.20",252417
11-Nov-2025,EQ,"1,497.00","1,498.80","1,480.20","1,489.30","1,493.80","1,493.40","1,489.58","1,551.00","1,114.85",7127506,"10,61,69,76,771.80",149607
10-Nov-2025,EQ,"1,477.90","1,501.00","1,475.50","1,478.00","1,490.10","1,489.30","1,492.69","1,551.00","1,114.85",7068438,"10,55,09,78,254.30",154602
07-Nov-2025,EQ,"1,494.60","1,498.40","1,475.90","1,496.10","1,480.00","1,478.00","1,486.71","1,551.00","1,114.85",7821765,"11,62,87,33,264.10",139608
06-Nov-2025,EQ,"1,484.00","1,501.60","1,476.20","1,473.10","1,494.80","1,496.10","1,494.08","1,551.00","1,114.85",16772678,"25,05,96,56,533.30",269902
04-Nov-2025,EQ,"1,483.90","1,492.80","1,470.10","1,484.70","1,471.10","1,473.10","1,480.96","1,551.00","1,114.85",10007806,"14,82,11,44,472.70",218103
03-Nov-2025,EQ,"1,486.00","1,495.00","1,479.30","1,486.40","1,487.30","1,484.70","1,488.29","1,551.00","1,114.85",8452085,"12,57,91,61,982.90",245664
31-Oct-2025,EQ,"1,490.40","1,497.50","1,482.30","1,488.50","1,487.00","1,486.40","1,487.80","1,551.00","1,114.85",8758053,"13,03,02,57,785.30",206898
